version,id,peril,data_validation_to_use
v2.0.101,1,Bodily Injury,VoI
v2.0.101,2,Property Damage,VoI
v2.0.101,3,Breach of Contract,VoI
v2.0.101,4,Personal & Advertising Injury,VoI
v2.0.101,5,Intellectual Property Infringement,VoI
v2.0.101,6,Third Party Discrimination,VoI
v2.0.101,7,Billing Errors Coverage,VoI
v2.0.101,8,Class Action Sublimit,VoI
v2.0.101,9,Contractors Pollution (Claims Made),VoI
v2.0.101,10,Contractors Pollution (Occ),VoI
v2.0.101,11,Crisis Management,VoI
v2.0.101,12,Defense Only TCPA,VoI
v2.0.101,13,Defense Outside Limits,VoI
v2.0.101,14,Evacuation Expenses,VoI
v2.0.101,15,Faulty Workmanship,VoI
v2.0.101,16,Games of Chance / Over-Redemption,VoI
v2.0.101,17,HIPAA Violations,VoI
v2.0.101,18,Open House Claim Sublimit,VoI
v2.0.101,19,Protective Indemnity,VoI
v2.0.101,20,Rectification Expenses,VoI
v2.0.101,21,Sexual Abuse & Misconduct,VoI2
v2.0.101,22,Mold,VoI
v2.0.101,23,Pollutants in Transit,VoI
v2.0.101,24,Non-Owned Disposal Site,VoI
v2.0.101,25,Bodily injury / property damage,VoI
v2.0.101,26,Aggregate limit endorsement,PoP
v2.0.101,27,Antitrust sublimit,VoI
v2.0.101,28,Failure to disclose pollutants,VoI
v2.0.101,29,FCRA defense only sublimit,VoI
v2.0.101,30,Pollution liability,VoI
v2.0.101,31,Technology Coverage Extension,VoI
v2.0.101,32,Network security & privacy,VoI
v2.0.101,33,Media activities,VoI
v2.0.101,34,First Dollar Defense,PoP
v2.0.101,35,Waiver of subrogation,PoP
v2.0.101,36,Worldwide Coverage Territory,PoP
v2.0.101,37,Additional Insured,AI
v2.0.101,38,Add Coverage for Dentists,AoE
v2.0.101,39,Add Named Physician,AoE
v2.0.101,40,Add Supervising Physician,AoE
v2.0.101,41,Bodily Inury (Emotional Distress),VoI
v2.0.101,42,Delete Defense Coverage,PoP
v2.0.101,43,Defense Cost Coinsurance,PoP
v2.0.101,44,Named Peril,PoP
v2.0.101,45,Defamation Exclusion and Sublimit,VoI
v2.0.101,46,Invasion of Privacy Exclusion & Sublimit,VoI
v2.0.101,47,Merchandising,PoP
v2.0.101,48,Removed Settlement Clause,PoP
v2.0.101,49,Contingent Property Damage Carveback,PoP
v2.0.101,50,Duty to Pay,PoP
