version,id,name
v2.0.101,1,A&E & Construction Managers
v2.0.101,2,General Contractors
v2.0.101,3,Creatives (Occurrence)
v2.0.101,4,Real Estate Developers (All Coverage Parts)
v2.0.101,5,Allied Healthcare (Occurence)
v2.0.101,6,AHC (Claims-Made and Reported)
v2.0.101,7,Home Healthcare
v2.0.101,8,Beauty Salon and Day Spa
v2.0.101,9,Pharmacy
v2.0.101,10,Outpatient Mental Healthcare
v2.0.101,11,Phys/Speech/Occ Therapy
v2.0.101,12,Anti-Aging
v2.0.101,13,Medical Imaging and Testing
v2.0.101,14,Ambulance and Medical Transportatio
v2.0.101,15,Professional Liability
v2.0.101,16,Consultants
v2.0.101,17,Trustees
v2.0.101,18,Real Estate and Property Manager
v2.0.101,19,Security Services (Claims Made and Reported)
v2.0.101,20,Security Services (Occurrence)
v2.0.101,21,Staffing
v2.0.101,22,Associations
v2.0.101,23,Analytical Testing Labs
v2.0.101,24,Accountants
v2.0.101,25,Pro Tech PL
v2.0.101,26,ClearTech Surplus
v2.0.101,27,Artisan Contractors
v2.0.101,28,Creatives (Claims Made and Reported)
