version,id,specialty,naics_modifier,eo_minimum_premium
v2.0.101,1,Acupuncture,0.490000009536743,850.00
v2.0.101,2,Athletic Trainers,0.762000024318695,10000.00
v2.0.101,3,Biofeedback,0.326000005006790,1250.00
v2.0.101,4,Chiropractor,0.754000008106232,2000.00
v2.0.101,5,Cryotherapy,0.679000020027161,4000.00
v2.0.101,6,Doula,0.432000011205673,1250.00
v2.0.101,7,Holistic healthcare,0.381000012159348,1500.00
v2.0.101,8,Naturopathic Physician,0.381000012159348,3500.00
v2.0.101,9,Personal Trainers/ Yoga,0.544000029563904,850.00
v2.0.101,10,Massage Franchise,2.099999904632568,10000.00
v2.0.101,11,Spa: Invasive,1.541000008583069,4000.00
v2.0.101,12,Spa: Minimally Invasive - Day Spa,0.649999976158142,1000.00
v2.0.101,13,Spa: More Invasive,3.081000089645386,5000.00
v2.0.101,14,Tattoo/body piercing,0.679000020027161,2000.00
v2.0.101,15,Acoustic Consulting,1.281000018119812,850.00
v2.0.101,16,Construction Consulting,1.281000018119812,850.00
v2.0.101,17,Cost Estimation Services,1.281000018119812,850.00
v2.0.101,18,Energy Consulting Services,2.566999912261963,500.00
v2.0.101,19,Fire Protection Consulting,1.281000018119812,850.00
v2.0.101,20,Mining Consultant,2.566999912261963,850.00
v2.0.101,21,Oil and Gas Consulting,2.566999912261963,850.00
v2.0.101,22,Environmental Consulting,1.057999968528748,850.00
v2.0.101,23,Bankruptcy Advisory Services,3.174999952316284,850.00
v2.0.101,24,Employee Benefit Plan / Pension Consulting,2.545000076293945,850.00
v2.0.101,25,"Loan, Lending, Financing Consulting",2.545000076293945,850.00
v2.0.101,26,Mergers and Acquisitions Consulting,3.174999952316284,850.00
v2.0.101,27,Financial Consulting,1.481999993324280,850.00
v2.0.101,28,Revenue Cycle Management Consulting,1.481999993324280,850.00
v2.0.101,29,Risk Management & Insurance Consulting,1.481999993324280,850.00
v2.0.101,30,Valuations Consultant,3.174999952316284,850.00
v2.0.101,31,Business Consulting,0.740999996662140,850.00
v2.0.101,32,Human Resources Consulting,1.057999968528748,850.00
v2.0.101,33,Leadership Consulting,0.528999984264374,850.00
v2.0.101,34,Management Consulting,0.740999996662140,850.00
v2.0.101,35,Municipal Advisory Services,1.481999993324280,850.00
v2.0.101,36,Product Development Consulting,1.057999968528748,850.00
v2.0.101,37,Public Affairs/Policy Consulting,0.528999984264374,850.00
v2.0.101,38,Media / Branding Consulting,0.740999996662140,850.00
v2.0.101,39,Healthcare Operations Consulting,1.481999993324280,850.00
v2.0.101,40,Independent Medical Exams,0.617999970912933,3000.00
v2.0.101,41,Medical Director,0.493999987840652,3000.00
v2.0.101,42,Patient Care Consulting,0.555999994277954,1000.00
v2.0.101,43,Peer-Review,0.432000011205673,3000.00
v2.0.101,44,Physician consultants,0.555999994277954,3000.00
v2.0.101,45,Utilization Review,0.432000011205673,3000.00
v2.0.101,46,Education Consulting,0.740999996662140,850.00
v2.0.101,47,Energy Efficiency Consulting,0.740999996662140,850.00
v2.0.101,48,Franchise Consulting,2.545000076293945,850.00
v2.0.101,49,Intellectual Property & Licensing Consulting,2.545000076293945,850.00
v2.0.101,50,Lifestyle Consulting,0.528999984264374,850.00
v2.0.101,51,Logistics Management Consulting,0.740999996662140,850.00
v2.0.101,52,Manufacturing Consulting,1.481999993324280,850.00
v2.0.101,53,Other Consulting,1.057999968528748,850.00
v2.0.101,54,Legal Consulting Services,1.057999968528748,850.00
v2.0.101,55,Regulatory Consulting,1.057999968528748,850.00
v2.0.101,56,Relocation Consulting & Coordination,0.740999996662140,850.00
v2.0.101,57,Scientific/Technical Consulting,1.481999993324280,850.00
