version,id,industry_sub_sector_id,name
v2.0.101,1,1,Acupuncture
v2.0.101,2,2,Athletic Trainers
v2.0.101,3,3,Biofeedback
v2.0.101,4,4,Chiropractor
v2.0.101,5,5,Cryotherapy
v2.0.101,6,6,Doula
v2.0.101,7,7,Holistic healthcare
v2.0.101,8,8,Naturopathic Physician
v2.0.101,9,9,Personal Trainers/ Yoga
v2.0.101,10,10,Spa: Invasive
v2.0.101,11,10,Spa: Minimally Invasive - Day Spa
v2.0.101,12,10,Massage Franchise
v2.0.101,13,10,Spa: More Invasive
v2.0.101,14,11,Tattoo/body piercing
v2.0.101,15,12,Acoustic Consulting
v2.0.101,16,12,Construction Consulting
v2.0.101,17,12,Cost Estimation Services
v2.0.101,18,12,Energy Consulting Services
v2.0.101,19,12,Fire Protection Consulting
v2.0.101,20,12,Mining Consultant
v2.0.101,21,12,Oil and Gas Consulting
v2.0.101,22,13,Environmental Consulting
v2.0.101,23,14,Bankruptcy Advisory Services
v2.0.101,24,14,Employee Benefit Plan / Pension Consulting
v2.0.101,25,14,"Loan, Lending, Financing Consulting"
v2.0.101,26,14,Mergers and Acquisitions Consulting
v2.0.101,27,14,Financial Consulting
v2.0.101,28,14,Revenue Cycle Management Consulting
v2.0.101,29,14,Risk Management & Insurance Consulting
v2.0.101,30,14,Valuations Consultant
v2.0.101,31,15,Business Consulting
v2.0.101,32,15,Human Resources Consulting
v2.0.101,33,15,Leadership Consulting
v2.0.101,34,15,Management Consulting
v2.0.101,35,15,Municipal Advisory Services
v2.0.101,36,15,Product Development Consulting
v2.0.101,37,15,Public Affairs/Policy Consulting
v2.0.101,38,16,Media / Branding Consulting
v2.0.101,39,17,Healthcare Operations Consulting
v2.0.101,40,17,Independent Medical Exams
v2.0.101,41,17,Medical Director
v2.0.101,42,17,Patient Care Consulting
v2.0.101,43,17,Peer-Review
v2.0.101,44,17,Physician consultants
v2.0.101,45,17,Utilization Review
v2.0.101,46,18,Education Consulting
v2.0.101,47,18,Energy Efficiency Consulting
v2.0.101,48,18,Franchise Consulting
v2.0.101,49,18,Intellectual Property & Licensing Consulting
v2.0.101,50,18,Lifestyle Consulting
v2.0.101,51,18,Logistics Management Consulting
v2.0.101,52,18,Manufacturing Consulting
v2.0.101,53,18,Other Consulting
v2.0.101,54,18,Legal Consulting Services
v2.0.101,55,18,Regulatory Consulting
v2.0.101,56,18,Relocation Consulting & Coordination
v2.0.101,57,18,Scientific/Technical Consulting
v2.0.101,58,18,Vocational Consulting
v2.0.101,59,19,Cell Tower Acquisition & Leasing Consulting
v2.0.101,60,19,Real Estate Consulting
v2.0.101,61,19,Real Estate Development Consulting
v2.0.101,62,19,Right Of Way Consulting
v2.0.101,63,20,Safety Consulting
v2.0.101,64,21,Compliance Certification
v2.0.101,65,21,Cybersecurity Testing
v2.0.101,66,21,General IT Consulting
v2.0.101,67,21,Software Testing
v2.0.101,68,21,Other Consulting
v2.0.101,69,21,Training
v2.0.101,70,22,At Risk Construction Management
v2.0.101,71,22,Construction and Installation Only
v2.0.101,72,22,"Manufactured, Prefabricated, Pre-engineered or Modular Builder"
v2.0.101,73,22,Design-Build Firms
v2.0.101,74,23,Manufacturer
v2.0.101,75,24,Demolition and Excavation
v2.0.101,76,24,Drywall and Insulation Contractors
v2.0.101,77,24,Electrical Contractors and Other Wiring Installation Contractors - Electricians
v2.0.101,78,24,Exterior Finishing & Siding
v2.0.101,79,24,Finish Carpentry Contractors - Finish Carpenter
v2.0.101,80,24,Fire Systems & Sprinkler Services
v2.0.101,81,24,Flooring Contractors
v2.0.101,82,24,Framing Contractors
v2.0.101,83,24,Glass and Glazing Contractors  - Glaziers
v2.0.101,84,24,HVAC Contractors
v2.0.101,85,24,Landscaping Services
v2.0.101,86,24,Masonry Contractors
v2.0.101,87,24,Oil and Gas Subcontractor
v2.0.101,88,24,Painting and Wall Covering Contractors
v2.0.101,89,24,Paving Contractor
v2.0.101,90,24,Plumbing Contractors
v2.0.101,91,24,Poured Concrete Foundation and Structure Contractors
v2.0.101,92,24,Remediation Contractor
v2.0.101,93,24,Renovation Contractor
v2.0.101,94,24,Roofing Contractors
v2.0.101,95,24,Solar Panel Installation Contractor
v2.0.101,96,24,Structural Steel and Precast Concrete Contractors
v2.0.101,97,24,Telecom installation
v2.0.101,98,24,Tile and Terrazzo Contractors
v2.0.101,99,24,Underground Utility Locating
v2.0.101,100,25,Advertising/Creative Agency
v2.0.101,101,25,Other Creative Services
v2.0.101,102,26,Graphic Design Services
v2.0.101,103,27,Direct Marketing
v2.0.101,104,27,Market Research
v2.0.101,105,27,Marketing Services
v2.0.101,106,27,Media Buying Agencies
v2.0.101,107,27,Promotional Services
v2.0.101,108,28,Photographer Services
v2.0.101,109,29,Post Production
v2.0.101,110,30,Public Relations Services
v2.0.101,111,31,Agency Construction Management
v2.0.101,112,32,Architectural Services
v2.0.101,113,32,Drafting / CAD / BIM
v2.0.101,114,32,Land Use and Master Planning
v2.0.101,115,32,Landscape Architects
