version,id,limit_retention_option,eo_low,eo_medium,eo_high,factor_gl_premises_operations,factor_gl_products_operations,factor_cyber
v2.0.101,1,,-0.1879,-0.1879,-0.1879,,,-0.1879
v2.0.101,2,1000,-0.1135,-0.1135,-0.1135,0.0676,0.0676,-0.1135
v2.0.101,3,2500,-0.0804,-0.0804,-0.0804,0.0966,0.0966,-0.0804
v2.0.101,4,5000,-0.0449,-0.0449,-0.0449,0.1266,0.1266,-0.0449
v2.0.101,5,10000,,,,0.1659,0.1659,0.0000
v2.0.101,6,20000,0.0800,0.0800,0.0800,0.2174,0.2174,0.0603
v2.0.101,7,25000,0.1100,0.1100,0.1100,0.2372,0.2372,0.0839
v2.0.101,8,50000,0.1850,0.1850,0.1850,0.3108,0.3108,0.1702
v2.0.101,9,75000,0.2300,0.2300,0.2300,0.3641,0.3641,0.2340
v2.0.101,10,100000,0.2700,0.2700,0.2700,0.4073,0.4073,0.2858
v2.0.101,11,125000,0.2975,0.2975,0.2975,0.4443,0.4443,0.3296
v2.0.101,12,150000,0.3250,0.3250,0.3250,0.4771,0.4771,0.3687
v2.0.101,13,175000,0.3500,0.3500,0.3500,0.5067,0.5067,0.4043
v2.0.101,14,200000,0.3700,0.3700,0.3700,0.5337,0.5337,0.4375
v2.0.101,15,225000,0.3900,0.3900,0.3900,0.5588,0.5588,0.4671
v2.0.101,16,250000,0.4100,0.4100,0.4100,0.5823,0.5823,0.4956
v2.0.101,17,275000,0.4300,0.4300,0.4300,0.6043,0.6043,0.5229
v2.0.101,18,300000,0.4500,0.4500,0.4500,0.6252,0.6252,0.5477
v2.0.101,19,325000,0.4700,0.4700,0.4700,0.6450,0.6450,0.5714
v2.0.101,20,350000,0.4900,0.4900,0.4900,0.6640,0.6640,0.5940
v2.0.101,21,375000,0.5098,0.5098,0.5098,0.6821,0.6821,0.6165
v2.0.101,22,400000,0.5327,0.5327,0.5327,0.6995,0.6995,0.6367
v2.0.101,23,425000,0.5551,0.5551,0.5551,0.7162,0.7162,0.6580
v2.0.101,24,450000,0.5771,0.5771,0.5771,0.7323,0.7323,0.6769
v2.0.101,25,475000,0.5987,0.5987,0.5987,0.7480,0.7480,0.6960
v2.0.101,26,500000,0.6200,0.6200,0.6200,0.7631,0.7631,0.7137
v2.0.101,27,525000,0.6409,0.6409,0.6409,0.7777,0.7777,0.7293
v2.0.101,28,550000,0.6615,0.6615,0.6615,0.7920,0.7920,0.7470
v2.0.101,29,575000,0.6818,0.6818,0.6818,0.8058,0.8058,0.7636
v2.0.101,30,600000,0.7018,0.7018,0.7018,0.8193,0.8193,0.7801
v2.0.101,31,625000,0.7215,0.7215,0.7215,0.8325,0.8325,0.7967
v2.0.101,32,650000,0.7410,0.7410,0.7410,0.8453,0.8453,0.8121
v2.0.101,33,675000,0.7603,0.7603,0.7603,0.8579,0.8579,0.8274
v2.0.101,34,700000,0.7793,0.7793,0.7793,0.8701,0.8701,0.8416
v2.0.101,35,725000,0.7982,0.7982,0.7982,0.8821,0.8821,0.8558
v2.0.101,36,750000,0.8168,0.8168,0.8168,0.8938,0.8938,0.8712
v2.0.101,37,775000,0.8352,0.8352,0.8352,0.9054,0.9054,0.8842
v2.0.101,38,800000,0.8534,0.8534,0.8534,0.9166,0.9166,0.8983
v2.0.101,39,825000,0.8715,0.8715,0.8715,0.9277,0.9277,0.9113
v2.0.101,40,850000,0.8893,0.8893,0.8893,0.9386,0.9386,0.9255
v2.0.101,41,875000,0.9070,0.9070,0.9070,0.9492,0.9492,0.9374
v2.0.101,42,900000,0.9246,0.9246,0.9246,0.9597,0.9597,0.9504
v2.0.101,43,925000,0.9420,0.9420,0.9420,0.9700,0.9700,0.9634
v2.0.101,44,950000,0.9592,0.9592,0.9592,0.9802,0.9802,0.9752
v2.0.101,45,975000,0.9763,0.9763,0.9763,0.9902,0.9902,0.9882
v2.0.101,46,1000000,0.9933,0.9933,0.9933,1.0000,1.0000,1.0000
v2.0.101,47,1500000,1.3086,1.3086,1.3086,1.1552,1.1552,1.2092
v2.0.101,48,2000000,1.5913,1.5913,1.5913,1.3105,1.3105,1.2636
v2.0.101,49,2500000,1.8521,1.8521,1.8521,1.4297,1.4297,1.7492
v2.0.101,50,3000000,2.0965,2.0965,2.0965,1.5351,1.5351,1.8969
v2.0.101,51,4000000,2.5495,2.5495,2.5495,1.7174,1.7174,2.1543
v2.0.101,52,5000000,2.9673,2.9673,2.9673,1.8736,1.8736,2.6186
v2.0.101,53,6000000,3.3590,3.3590,3.3590,2.0117,2.0117,2.8336
v2.0.101,54,7000000,3.7302,3.7302,3.7302,2.1364,2.1364,3.0291
v2.0.101,55,8000000,4.0847,4.0847,4.0847,2.2506,2.2506,3.2083
v2.0.101,56,9000000,4.4253,4.4253,4.4253,2.3564,2.3564,3.3755
v2.0.101,57,10000000,4.7540,4.7540,4.7540,2.4553,2.4553,3.5308
v2.0.101,58,11000000,5.0723,5.0723,5.0723,2.5483,2.5483,3.6770
v2.0.101,59,12000000,5.3815,5.3815,5.3815,2.6363,2.6363,3.8159
v2.0.101,60,13000000,5.6825,5.6825,5.6825,2.7199,2.7199,3.9473
v2.0.101,61,14000000,5.9762,5.9762,5.9762,2.7997,2.7997,4.0727
v2.0.101,62,15000000,6.2633,6.2633,6.2633,2.8760,2.8760,4.1936
v2.0.101,63,16000000,6.5443,6.5443,6.5443,2.9494,2.9494,4.3100
v2.0.101,64,17000000,6.8197,6.8197,6.8197,3.0199,3.0199,4.4221
v2.0.101,65,18000000,7.0900,7.0900,7.0900,3.0880,3.0880,4.5295
