version,id,optional_coverage,applicable_to_coverage_or_gtc,applicable_to_form_or_endorsement,e_number
v2.0.101,1,Bodily Injury,Coverage,Endorsement,Endorsement
v2.0.101,2,Property Damage,Coverage,Endorsement,Endorsement
v2.0.101,3,Breach of Contract,Coverage,Endorsement,Endorsement
v2.0.101,4,Personal & Advertising Injury,Coverage,Endorsement,Endorsement
v2.0.101,5,Intellectual Property Infringement,Coverage,Endorsement,Endorsement
v2.0.101,6,Third Party Discrimination,Coverage,Endorsement,Endorsement
v2.0.101,7,Billing Errors Coverage,Coverage,Endorsement,Endorsement
v2.0.101,8,Class Action Sublimit,Coverage,Endorsement,Endorsement
v2.0.101,9,Contractors Pollution (Claims Made),Coverage,Endorsement,Endorsement
v2.0.101,10,Crisis Management,Coverage,Endorsement,Endorsement
v2.0.101,11,Defense Only TCPA,Coverage,Endorsement,Endorsement
v2.0.101,12,Defense Outside Limits,GTC,Endorsement,Endorsement
v2.0.101,13,Evacuation Expenses,Coverage,Endorsement,Endorsement
v2.0.101,14,Faulty Workmanship,Coverage,Endorsement,Endorsement
v2.0.101,15,Games of Chance / Over-Redemption,Coverage,Endorsement,Endorsement
v2.0.101,16,HIPAA Violations,Coverage,Form,""
v2.0.101,17,Open House Claim Sublimit,Coverage,Endorsement,Endorsement
v2.0.101,18,Protective Indemnity,Coverage,Endorsement,Endorsement
v2.0.101,19,Rectification Expenses,Coverage,Endorsement,Endorsement
v2.0.101,20,Sexual Abuse & Misconduct,Coverage,Form,""
v2.0.101,21,Mold,Coverage,Endorsement,Endorsement
v2.0.101,22,Pollutants in Transit,Coverage,Endorsement,Endorsement
v2.0.101,23,Non-Owned Disposal Site,Coverage,Endorsement,Endorsement
v2.0.101,24,Bodily injury / property damage,Coverage,Endorsement,Endorsement
v2.0.101,25,Aggregate limit endorsement,GTC,Endorsement,Endorsement
v2.0.101,26,Antitrust sublimit,Coverage,Endorsement,Endorsement
v2.0.101,27,Failure to disclose pollutants,Coverage,Endorsement,Endorsement
v2.0.101,28,FCRA defense only sublimit,Coverage,Endorsement,Endorsement
v2.0.101,29,Pollution liability,Coverage,Endorsement,Endorsement
v2.0.101,30,Technology Coverage Extension,Coverage,Endorsement,Endorsement
v2.0.101,31,Network security & privacy,Coverage,Endorsement,Endorsement
v2.0.101,32,Media activities,Coverage,Endorsement,Endorsement
v2.0.101,33,First Dollar Defense,Coverage,Endorsement,Endorsement
v2.0.101,34,Waiver of subrogation,Coverage,Endorsement,Endorsement
v2.0.101,35,Worldwide Coverage Territory,Coverage,Endorsement,Endorsement
v2.0.101,36,Additional Insured,GTC,Endorsement,Endorsement
v2.0.101,37,Add Coverage for Dentists,Coverage,Endorsement,Endorsement
v2.0.101,38,Add Named Physician,Coverage,Endorsement,Endorsement
v2.0.101,39,Add Named Surgeon,Coverage,Endorsement,Endorsement
v2.0.101,40,Contractors Pollution (Occ),Coverage,Endorsement,Endorsement
v2.0.101,41,Add Supervising Physician,Coverage,Endorsement,Endorsement
v2.0.101,42,Bodily Inury (Emotional Distress),Coverage,Endorsement,Endorsement
v2.0.101,43,Delete Defense Coverage,Coverage,Endorsement,Endorsement
v2.0.101,44,Defense Cost Coinsurance,Coverage,Endorsement,Endorsement
v2.0.101,45,Named Peril,Coverage,Endorsement,Endorsement
v2.0.101,46,Defamation Exclusion and Sublimit,Coverage,Endorsement,Endorsement
v2.0.101,47,Invasion of Privacy Exclusion & Sublimit,Coverage,Endorsement,Endorsement
v2.0.101,48,Merchandising,Coverage,Endorsement,Endorsement
v2.0.101,49,Removed Settlement Clause,Coverage,Endorsement,Endorsement
v2.0.101,50,Contingent Property Damage Carveback,Coverage,Endorsement,Endorsement
v2.0.101,51,Duty to Pay,Coverage,Endorsement,Endorsement
