version,id,percent_of_occ_limit,type,factor
v2.0.101,1,0.00,Bodily Injury,0.00
v2.0.101,2,0.00,Property Damage,0.00
v2.0.101,3,0.00,Breach of Contract,0.00
v2.0.101,4,0.00,Personal & Advertising Injury,0.00
v2.0.101,5,0.00,Intellectual Property Infringement,0.00
v2.0.101,6,0.00,Third Party Discriminatio,0.00
v2.0.101,7,0.00,Contractors Pollution (Claims Made),0.00
v2.0.101,8,0.00,Contractors Pollution (Occ),0.00
v2.0.101,9,0.00,Sexual Abuse & Misconduct,0.00
v2.0.101,10,0.00,Billing Errors Coverage,0.00
v2.0.101,11,0.00,Class Action Sublimit,-15.79
v2.0.101,12,0.00,Crisis Management,0.00
v2.0.101,13,0.00,Defense Only TCPA,0.00
v2.0.101,14,0.00,Defense Outside Limits,0.00
v2.0.101,15,0.00,Evacuation Expenses,0.00
v2.0.101,16,0.00,Faulty Workmanship,0.00
v2.0.101,17,0.00,Games of Chance / Over-Redemptio,0.00
v2.0.101,18,0.00,HIPAA Violations,0.00
v2.0.101,19,0.00,Open House Claim Sublimit,0.00
v2.0.101,20,0.00,Rectification Expenses,0.00
v2.0.101,21,0.00,Protective Indemnity,0.00
v2.0.101,22,0.00,Mold,0.00
v2.0.101,23,0.00,Pollutants in Transit,0.00
v2.0.101,24,0.00,Non-Owned Disposal Site,0.00
v2.0.101,25,0.00,Bodily injury / property damage,0.00
v2.0.101,26,0.00,Antitrust sublimit,0.00
v2.0.101,27,0.00,Failure to disclose pollutants,0.00
v2.0.101,28,0.00,FCRA defense only sublimit,0.00
v2.0.101,29,0.00,Pollution liability,0.00
v2.0.101,30,0.00,Technology Coverage Extensio,0.00
v2.0.101,31,0.00,Bodily Inury (Emotional Distress),0.00
v2.0.101,32,0.00,Network security & privacy,0.00
v2.0.101,33,0.00,Defamation Exclusion and Sublimit,-7.90
v2.0.101,34,0.00,InvasionPrivacyExclusionSublimit,-7.90
v2.0.101,35,0.00,Media activities,0.00
v2.0.101,36,2.50,Bodily Injury,3.50
v2.0.101,37,2.50,Property Damage,1.40
v2.0.101,38,2.50,Breach of Contract,1.40
v2.0.101,39,2.50,Personal & Advertising Injury,2.80
v2.0.101,40,2.50,Intellectual Property Infringement,1.40
v2.0.101,41,2.50,Third Party Discriminatio,1.40
v2.0.101,42,2.50,Contractors Pollution (Claims Made),2.10
v2.0.101,43,2.50,Contractors Pollution (Occ),2.52
v2.0.101,44,2.50,Sexual Abuse & Misconduct,5.39
v2.0.101,45,2.50,Billing Errors Coverage,2.21
v2.0.101,46,2.50,Class Action Sublimit,-15.57
v2.0.101,47,2.50,Crisis Management,1.23
v2.0.101,48,2.50,Defense Only TCPA,3.97
v2.0.101,49,2.50,Defense Outside Limits,2.80
v2.0.101,50,2.50,Evacuation Expenses,1.23
v2.0.101,51,2.50,Faulty Workmanship,8.64
v2.0.101,52,2.50,Games of Chance / Over-Redemptio,2.21
v2.0.101,53,2.50,HIPAA Violations,0.88
v2.0.101,54,2.50,Open House Claim Sublimit,2.10
v2.0.101,55,2.50,Rectification Expenses,1.23
v2.0.101,56,2.50,Protective Indemnity,0.44
v2.0.101,57,2.50,Mold,1.23
v2.0.101,58,2.50,Pollutants in Transit,0.44
v2.0.101,59,2.50,Non-Owned Disposal Site,0.44
v2.0.101,60,2.50,Bodily injury / property damage,3.68
v2.0.101,61,2.50,Antitrust sublimit,0.88
v2.0.101,62,2.50,Failure to disclose pollutants,0.88
v2.0.101,63,2.50,FCRA defense only sublimit,3.97
v2.0.101,64,2.50,Pollution liability,1.75
v2.0.101,65,2.50,Technology Coverage Extensio,2.10
v2.0.101,66,2.50,Bodily Inury (Emotional Distress),1.75
v2.0.101,67,2.50,Network security & privacy,1.23
v2.0.101,68,2.50,Defamation Exclusion and Sublimit,-6.50
v2.0.101,69,2.50,InvasionPrivacyExclusionSublimit,-6.50
v2.0.101,70,2.50,Media activities,2.28
v2.0.101,71,5.00,Bodily Injury,5.76
v2.0.101,72,5.00,Property Damage,2.30
v2.0.101,73,5.00,Breach of Contract,2.30
v2.0.101,74,5.00,Personal & Advertising Injury,4.61
v2.0.101,75,5.00,Intellectual Property Infringement,2.30
v2.0.101,76,5.00,Third Party Discriminatio,2.30
v2.0.101,77,5.00,Contractors Pollution (Claims Made),3.38
v2.0.101,78,5.00,Contractors Pollution (Occ),4.06
v2.0.101,79,5.00,Sexual Abuse & Misconduct,7.39
v2.0.101,80,5.00,Billing Errors Coverage,3.39
v2.0.101,81,5.00,Class Action Sublimit,-15.35
v2.0.101,82,5.00,Crisis Management,1.97
v2.0.101,83,5.00,Defense Only TCPA,6.10
v2.0.101,84,5.00,Defense Outside Limits,4.61
v2.0.101,85,5.00,Evacuation Expenses,1.97
v2.0.101,86,5.00,Faulty Workmanship,13.91
v2.0.101,87,5.00,Games of Chance / Over-Redemptio,3.39
v2.0.101,88,5.00,HIPAA Violations,1.35
v2.0.101,89,5.00,Open House Claim Sublimit,3.38
v2.0.101,90,5.00,Rectification Expenses,1.97
v2.0.101,91,5.00,Protective Indemnity,0.68
v2.0.101,92,5.00,Mold,1.97
v2.0.101,93,5.00,Pollutants in Transit,0.68
v2.0.101,94,5.00,Non-Owned Disposal Site,0.68
v2.0.101,95,5.00,Bodily injury / property damage,6.05
v2.0.101,96,5.00,Antitrust sublimit,1.35
v2.0.101,97,5.00,Failure to disclose pollutants,1.35
v2.0.101,98,5.00,FCRA defense only sublimit,6.10
v2.0.101,99,5.00,Pollution liability,2.88
v2.0.101,100,5.00,Technology Coverage Extensio,3.38
v2.0.101,101,5.00,Bodily Inury (Emotional Distress),2.88
v2.0.101,102,5.00,Network security & privacy,1.97
v2.0.101,103,5.00,Defamation Exclusion and Sublimit,-5.59
v2.0.101,104,5.00,InvasionPrivacyExclusionSublimit,-5.59
v2.0.101,105,5.00,Media activities,3.66
v2.0.101,106,10.00,Bodily Injury,8.92
v2.0.101,107,10.00,Property Damage,3.57
v2.0.101,108,10.00,Breach of Contract,3.57
v2.0.101,109,10.00,Personal & Advertising Injury,7.13
v2.0.101,110,10.00,Intellectual Property Infringement,3.57
v2.0.101,111,10.00,Third Party Discriminatio,3.57
v2.0.101,112,10.00,Contractors Pollution (Claims Made),4.97
v2.0.101,113,10.00,Contractors Pollution (Occ),5.97
v2.0.101,114,10.00,Sexual Abuse & Misconduct,10.39
v2.0.101,115,10.00,Billing Errors Coverage,4.72
v2.0.101,116,10.00,Class Action Sublimit,-15.12
v2.0.101,117,10.00,Crisis Management,2.90
v2.0.101,118,10.00,Defense Only TCPA,8.49
v2.0.101,119,10.00,Defense Outside Limits,7.13
v2.0.101,120,10.00,Evacuation Expenses,2.90
v2.0.101,121,10.00,Faulty Workmanship,20.45
v2.0.101,122,10.00,Games of Chance / Over-Redemptio,4.72
v2.0.101,123,10.00,HIPAA Violations,1.89
v2.0.101,124,10.00,Open House Claim Sublimit,4.97
v2.0.101,125,10.00,Rectification Expenses,2.90
v2.0.101,126,10.00,Protective Indemnity,0.94
v2.0.101,127,10.00,Mold,2.90
v2.0.101,128,10.00,Pollutants in Transit,0.94
v2.0.101,129,10.00,Non-Owned Disposal Site,0.94
v2.0.101,130,10.00,Bodily injury / property damage,9.36
v2.0.101,131,10.00,Antitrust sublimit,1.89
v2.0.101,132,10.00,Failure to disclose pollutants,1.89
v2.0.101,133,10.00,FCRA defense only sublimit,8.49
v2.0.101,134,10.00,Pollution liability,4.46
v2.0.101,135,10.00,Technology Coverage Extensio,4.97
v2.0.101,136,10.00,Bodily Inury (Emotional Distress),4.46
v2.0.101,137,10.00,Network security & privacy,2.90
v2.0.101,138,10.00,Defamation Exclusion and Sublimit,-4.33
v2.0.101,139,10.00,InvasionPrivacyExclusionSublimit,-4.33
v2.0.101,140,10.00,Media activities,5.39
v2.0.101,141,15.00,Bodily Injury,10.80
v2.0.101,142,15.00,Property Damage,4.32
v2.0.101,143,15.00,Breach of Contract,4.32
v2.0.101,144,15.00,Personal & Advertising Injury,8.64
v2.0.101,145,15.00,Intellectual Property Infringement,4.32
v2.0.101,146,15.00,Third Party Discriminatio,4.32
v2.0.101,147,15.00,Contractors Pollution (Claims Made),5.93
v2.0.101,148,15.00,Contractors Pollution (Occ),7.12
v2.0.101,149,15.00,Sexual Abuse & Misconduct,12.89
v2.0.101,150,15.00,Billing Errors Coverage,5.51
v2.0.101,151,15.00,Class Action Sublimit,-14.89
v2.0.101,152,15.00,Crisis Management,3.46
v2.0.101,153,15.00,Defense Only TCPA,9.91
v2.0.101,154,15.00,Defense Outside Limits,8.64
v2.0.101,155,15.00,Evacuation Expenses,3.46
v2.0.101,156,15.00,Faulty Workmanship,24.40
v2.0.101,157,15.00,Games of Chance / Over-Redemptio,5.51
v2.0.101,158,15.00,HIPAA Violations,2.20
v2.0.101,159,15.00,Open House Claim Sublimit,5.93
v2.0.101,160,15.00,Rectification Expenses,3.46
v2.0.101,161,15.00,Protective Indemnity,1.10
v2.0.101,162,15.00,Mold,3.46
v2.0.101,163,15.00,Pollutants in Transit,1.10
v2.0.101,164,15.00,Non-Owned Disposal Site,1.10
v2.0.101,165,15.00,Bodily injury / property damage,11.34
v2.0.101,166,15.00,Antitrust sublimit,2.20
v2.0.101,167,15.00,Failure to disclose pollutants,2.20
v2.0.101,168,15.00,FCRA defense only sublimit,9.91
v2.0.101,169,15.00,Pollution liability,5.40
v2.0.101,170,15.00,Technology Coverage Extensio,5.93
v2.0.101,171,15.00,Bodily Inury (Emotional Distress),5.40
v2.0.101,172,15.00,Network security & privacy,3.46
v2.0.101,173,15.00,Defamation Exclusion and Sublimit,-3.58
v2.0.101,174,15.00,InvasionPrivacyExclusionSublimit,-3.58
v2.0.101,175,15.00,Media activities,6.42
v2.0.101,176,20.00,Bodily Injury,12.18
