version,id,optional_additional_coverage,value_of_insurance,premium
v2.0.101,1,Bodily Injury,0,0
v2.0.101,2,Property Damage,0,0
v2.0.101,3,Breach of Contract,0.078960888,81
v2.0.101,4,Personal & Advertising Injury,0.157921776,163
v2.0.101,5,Intellectual Property Infringement,0.052992869,55
v2.0.101,6,Third Party Discrimination,0.078960888,81
v2.0.101,7,Billing Errors Coverage,0.00,0
v2.0.101,8,Class Action Sublimit,-15.79,-163
v2.0.101,9,Contractors Pollution (Claims Made),0.00,0
v2.0.101,10,Contractors Pollution (Occ),0.00,0
v2.0.101,11,Crisis Management,0.00,0
v2.0.101,12,Defense Only TCPA,0.00,0
v2.0.101,13,Defense Outside Limits,0.00,0
v2.0.101,14,Evacuation Expenses,0.00,0
v2.0.101,15,Faulty Workmanship,0.00,0
v2.0.101,16,Games of Chance / Over-Redemption,0.00,0
v2.0.101,17,HIPAA Violations,0.00,0
v2.0.101,18,Open House Claim Sublimit,0.00,0
v2.0.101,19,Protective Indemnity,0.00,0
v2.0.101,20,Rectification Expenses,0.00,0
v2.0.101,21,Sexual Abuse & Misconduct,0.00,0
v2.0.101,22,Mold,0.00,0
v2.0.101,23,Pollutants in Transit,0.00,0
v2.0.101,24,Non-Owned Disposal Site,0.00,0
v2.0.101,25,Bodily injury / property damage,0.00,0
v2.0.101,26,Antitrust sublimit,0.00,0
v2.0.101,27,Failure to disclose pollutants,0.00,0
v2.0.101,28,FCRA defense only sublimit,0.00,0
v2.0.101,29,Pollution liability,0.00,0
v2.0.101,30,Technology Coverage Extension,0.00,0
v2.0.101,31,Network security & privacy,0.00,0
v2.0.101,32,Bodily Inury (Emotional Distress),0.00,0
v2.0.101,33,Defamation Exclusion and Sublimit,0.00,0
v2.0.101,34,Invasion of Privacy Exclusion & Sublimit,0.00,0
v2.0.101,35,Media activities,0.00,0
