version,id,retained_value,factor_eo,factor_gl,factor_cyber
v2.0.101,1,1.0000,1.0000,0.9330,1.0000
v2.0.101,2,1.2000,1.0210,0.9500,1.0200
v2.0.101,3,1.4000,1.0440,0.9650,1.0370
v2.0.101,4,1.6000,1.0640,0.9780,1.0530
v2.0.101,5,1.8000,1.0810,0.9890,1.0660
v2.0.101,6,2.0000,1.0970,1.0000,1.0790
v2.0.101,7,2.2000,1.1110,1.0100,1.0900
v2.0.101,8,2.4000,1.1240,1.0190,1.1000
v2.0.101,9,2.6000,1.1360,1.0270,1.1100
v2.0.101,10,2.8000,1.1470,1.0350,1.1190
v2.0.101,11,3.0000,1.1570,1.0420,1.1270
v2.0.101,12,3.2000,1.1660,1.0490,1.1350
v2.0.101,13,3.4000,1.1750,1.0550,1.1430
v2.0.101,14,3.6000,1.1840,1.0610,1.1500
v2.0.101,15,3.8000,1.1920,1.0670,1.1570
v2.0.101,16,4.0000,1.2000,1.0720,1.1630
v2.0.101,17,4.2000,1.2070,1.0780,1.1690
v2.0.101,18,4.4000,1.2140,1.0830,1.1750
v2.0.101,19,4.6000,1.2200,1.0880,1.1810
v2.0.101,20,4.8000,1.2270,1.0920,1.1870
v2.0.101,21,5.0000,1.2330,1.0970,1.1920
v2.0.101,22,5.2000,1.2380,1.1010,1.2410
v2.0.101,23,5.4000,1.2440,1.1050,1.2470
v2.0.101,24,5.6000,1.2490,1.1100,1.2530
v2.0.101,25,5.8000,1.2550,1.1130,1.2590
v2.0.101,26,6.0000,1.2600,1.1170,1.2650
v2.0.101,27,6.2000,1.2650,1.1210,1.2700
v2.0.101,28,6.4000,1.2690,1.1250,1.2750
v2.0.101,29,6.6000,1.2740,1.1280,1.2800
v2.0.101,30,6.8000,1.2780,1.1310,1.2860
v2.0.101,31,7.0000,1.2830,1.1350,1.2900
v2.0.101,32,7.2000,1.2870,1.1380,1.2950
v2.0.101,33,7.4000,1.2910,1.1410,1.3000
v2.0.101,34,7.6000,1.2950,1.1440,1.3040
v2.0.101,35,7.8000,1.2990,1.1470,1.3090
v2.0.101,36,8.0000,1.3020,1.1500,1.3130
v2.0.101,37,8.2000,1.3060,1.1530,1.3170
v2.0.101,38,8.4000,1.3100,1.1560,1.3220
v2.0.101,39,8.6000,1.3130,1.1590,1.3260
v2.0.101,40,8.8000,1.3170,1.1610,1.3300
v2.0.101,41,9.0000,1.3200,1.1640,1.3340
v2.0.101,42,9.2000,1.3230,1.1670,1.3370
v2.0.101,43,9.4000,1.3260,1.1690,1.3410
v2.0.101,44,9.6000,1.3290,1.1720,1.3450
v2.0.101,45,9.8000,1.3320,1.1740,1.3490
v2.0.101,46,10.0000,1.3350,1.1760,1.3520
v2.0.101,47,10.2000,1.3380,1.1790,1.3560
v2.0.101,48,10.4000,1.3410,1.1810,1.3590
v2.0.101,49,10.6000,1.3440,1.1830,1.3620
v2.0.101,50,10.8000,1.3470,1.1860,1.3660
v2.0.101,51,11.0000,1.3500,1.1880,1.3690
v2.0.101,52,11.2000,1.3520,1.1900,1.3720
v2.0.101,53,11.4000,1.3550,1.1920,1.3760
v2.0.101,54,11.6000,1.3570,1.1940,1.3790
v2.0.101,55,11.8000,1.3600,1.1960,1.3820
v2.0.101,56,12.0000,1.3630,1.1980,1.3850
v2.0.101,57,12.2000,1.3650,1.2000,1.3880
v2.0.101,58,12.4000,1.3670,1.2020,1.3910
v2.0.101,59,12.6000,1.3700,1.2040,1.3940
v2.0.101,60,12.8000,1.3720,1.2060,1.3970
v2.0.101,61,13.0000,1.3740,1.2080,1.3990
v2.0.101,62,13.2000,1.3770,1.2100,1.4020
v2.0.101,63,13.4000,1.3790,1.2120,1.4050
v2.0.101,64,13.6000,1.3810,1.2130,1.4080
v2.0.101,65,13.8000,1.3830,1.2150,1.4100
v2.0.101,66,14.0000,1.3850,1.2170,1.4130
v2.0.101,67,14.2000,1.3870,1.2190,1.4160
v2.0.101,68,14.4000,1.3900,1.2200,1.4180
v2.0.101,69,14.6000,1.3920,1.2220,1.4210
v2.0.101,70,14.8000,1.3940,1.2240,1.4230
v2.0.101,71,15.0000,1.3960,1.2250,1.4260
