version,id,retained_value_percent,factor
v2.0.101,1,0,0.9205
v2.0.101,2,5,0.9240
v2.0.101,3,10,0.9276
v2.0.101,4,15,0.9311
v2.0.101,5,20,0.9346
v2.0.101,6,25,0.9381
v2.0.101,7,30,0.9417
v2.0.101,8,35,0.9452
v2.0.101,9,40,0.9487
v2.0.101,10,45,0.9522
v2.0.101,11,50,0.9557
v2.0.101,12,55,0.9593
v2.0.101,13,60,0.9628
v2.0.101,14,65,0.9663
v2.0.101,15,70,0.9698
v2.0.101,16,75,0.9734
v2.0.101,17,80,0.9769
v2.0.101,18,85,0.9804
v2.0.101,19,90,0.9839
v2.0.101,20,95,0.9875
v2.0.101,21,100,1.0000
v2.0.101,22,1000,1.0000
